@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
22, 78, 192, 3751, wholegrain
22, 115, 151, 5040, wholegrain
19, 120, 195, 3625, wholegrain
19, 152, 149, 4653, wholegrain
18, 133, 144, 5720, wholegrain
21, 119, 169, 5776, wholegrain
20, 129, 140, 5985, wholegrain
18, 119, 154, 4862, wholegrain
20, 108, 181, 3213, wholegrain
21, 107, 167, 4810, wholegrain
19, 110, 194, 5530, wholegrain
21, 107, 143, 6150, wholegrain
21, 130, 149, 4588, wholegrain
20, 120, 162, 6400, wholegrain
21, 123, 124, 4004, wholegrain
21, 125, 169, 4110, wholegrain
21, 121, 185, 6072, wholegrain
17, 115, 144, 4165, wholegrain
22, 107, 150, 4930, wholegrain
20, 140, 120, 5624, wholegrain
18, 125, 126, 5720, wholegrain
23, 67, 133, 4862, wholegrain
21, 98, 171, 4356, wholegrain
21, 84, 143, 3510, wholegrain
21, 119, 165, 3616, wholegrain
21, 127, 131, 4515, wholegrain
20, 138, 151, 5100, wholegrain
21, 87, 147, 12782, wholegrain
20, 94, 179, 4154, wholegrain
20, 131, 160, 5957, wholegrain
21, 99, 167, 6118, wholegrain
21, 108, 165, 5776, wholegrain
20, 108, 59, 5436, wholegrain
26, 76, 138, 3248, wholegrain
20, 137, 147, 4480, wholegrain
19, 126, 162, 5152, wholegrain
16, 164, 120, 5662, wholegrain
21, 86, 175, 2835, wholegrain
23, 139, 134, 7800, wholegrain
21, 100, 165, 7310, wholegrain
23, 100, 166, 8996, wholegrain
21, 93, 164, 14672, wholegrain
21, 115, 184, 3930, wholegrain
20, 104, 166, 5436, wholegrain
21, 98, 158, 4805, wholegrain
22, 126, 160, 4154, wholegrain
15, 134, 116, 6747, wholegrain
20, 137, 160, 5800, wholegrain
23, 135, 127, 4160, wholegrain
21, 122, 167, 4104, wholegrain
21, 112, 152, 5236, wholegrain
21, 112, 157, 5109, wholegrain
17, 111, 131, 4160, wholegrain
21, 119, 174, 5024, wholegrain
18, 91, 169, 4095, wholegrain
18, 122, 170, 5145, wholegrain
22, 107, 148, 4686, wholegrain
22, 116, 165, 6308, wholegrain
19, 109, 176, 4170, wholegrain
23, 85, 162, 11067, wholegrain
19, 146, 126, 5254, wholegrain
23, 83, 156, 3978, wholegrain
22, 109, 147, 6086, wholegrain
22, 102, 165, 4968, wholegrain
20, 117, 166, 5624, wholegrain
20, 132, 168, 5616, wholegrain
19, 130, 157, 4620, wholegrain
17, 117, 113, 8480, wholegrain
20, 122, 165, 3976, wholegrain
21, 118, 171, 4082, wholegrain
21, 121, 186, 4587, wholegrain
22, 132, 135, 3904, wholegrain
19, 138, 131, 5852, wholegrain
20, 123, 159, 6992, wholegrain
20, 123, 170, 9030, wholegrain
18, 105, 185, 3892, wholegrain
20, 104, 155, 4147, wholegrain
20, 100, 158, 5719, wholegrain
22, 110, 163, 6437, wholegrain
21, 111, 159, 6650, wholegrain
20, 121, 133, 4847, wholegrain
21, 101, 170, 7296, wholegrain
20, 112, 180, 6096, wholegrain
22, 86, 139, 4023, wholegrain
19, 106, 175, 5250, wholegrain
21, 125, 178, 4384, wholegrain
21, 115, 180, 3875, wholegrain
20, 130, 133, 3968, wholegrain
20, 137, 140, 5092, wholegrain
20, 88, 162, 2016, wholegrain
18, 145, 121, 8673, wholegrain
21, 79, 180, 3164, wholegrain
23, 109, 178, 3136, wholegrain
21, 128, 157, 3999, wholegrain
20, 126, 148, 5698, wholegrain
21, 129, 138, 6435, wholegrain
21, 104, 150, 6640, wholegrain
23, 100, 145, 5000, wholegrain
20, 98, 156, 5590, wholegrain
22, 125, 172, 4480, wholegrain
20, 85, 168, 3875, wholegrain
20, 107, 188, 4770, wholegrain
20, 85, 165, 5676, wholegrain
20, 137, 145, 7410, wholegrain
18, 103, 179, 6174, wholegrain
19, 84, 163, 3904, wholegrain
15, 106, 142, 3450, wholegrain
21, 121, 156, 7040, wholegrain
20, 133, 144, 4123, wholegrain
21, 111, 186, 3094, wholegrain
22, 84, 164, 4644, wholegrain
20, 120, 160, 5215, wholegrain
22, 113, 179, 4248, wholegrain
20, 99, 176, 5460, wholegrain
20, 141, 132, 4752, wholegrain
19, 123, 159, 6320, wholegrain
19, 116, 156, 6493, wholegrain
20, 115, 169, 3294, wholegrain
23, 105, 172, 4847, wholegrain
19, 89, 169, 4650, wholegrain
20, 108, 111, 5112, wholegrain
23, 96, 167, 6080, wholegrain
22, 126, 160, 5809, wholegrain
23, 115, 160, 6800, wholegrain
18, 115, 118, 4320, wholegrain
21, 125, 155, 5548, wholegrain
28, 87, 150, 4860, wholegrain
21, 123, 172, 4964, wholegrain
24, 105, 150, 4494, wholegrain
21, 127, 148, 6468, wholegrain
22, 126, 150, 6384, wholegrain
22, 118, 158, 3776, wholegrain
18, 149, 147, 6040, wholegrain
7, 119, 45, 8360, wholegrain
18, 145, 162, 4650, wholegrain
21, 110, 155, 2914, wholegrain
23, 84, 133, 4080, wholegrain
22, 102, 198, 4205, wholegrain
18, 140, 144, 5250, wholegrain
20, 107, 159, 4110, wholegrain
19, 130, 143, 9782, wholegrain
21, 81, 154, 3520, wholegrain
20, 110, 164, 5365, wholegrain
20, 133, 153, 4148, wholegrain
20, 114, 163, 5738, wholegrain
23, 117, 142, 4064, wholegrain
22, 98, 135, 4061, wholegrain
19, 103, 175, 3348, wholegrain
21, 134, 165, 4356, wholegrain
21, 110, 151, 4257, wholegrain
21, 121, 147, 6084, wholegrain
21, 102, 148, 4800, wholegrain
19, 85, 153, 3078, wholegrain
20, 139, 163, 3857, wholegrain
21, 129, 160, 5888, wholegrain
23, 81, 151, 7598, wholegrain
21, 130, 172, 3627, wholegrain
23, 95, 180, 3712, wholegrain
20, 87, 162, 3013, wholegrain
20, 127, 150, 5460, wholegrain
18, 97, 166, 4060, wholegrain
19, 117, 152, 4760, wholegrain
20, 130, 157, 8976, wholegrain
25, 81, 161, 4466, wholegrain
19, 133, 148, 4420, wholegrain
21, 119, 158, 4130, wholegrain
22, 119, 154, 6279, wholegrain
22, 140, 148, 5883, wholegrain
22, 124, 158, 4416, wholegrain
21, 137, 155, 5694, wholegrain
20, 108, 154, 3750, wholegrain
20, 118, 160, 6478, wholegrain
19, 134, 101, 9456, wholegrain
20, 112, 178, 6327, wholegrain
21, 103, 151, 5180, wholegrain
20, 114, 164, 6640, wholegrain
21, 112, 175, 6720, wholegrain
21, 87, 178, 3870, wholegrain
19, 105, 162, 4352, wholegrain
21, 114, 166, 4288, wholegrain
19, 99, 168, 4515, wholegrain
21, 79, 197, 5742, wholegrain
22, 99, 175, 6068, wholegrain
20, 107, 179, 6160, wholegrain
20, 134, 141, 5256, wholegrain
20, 99, 95, 13490, wholegrain
20, 84, 169, 4921, wholegrain
23, 88, 179, 5504, wholegrain
18, 128, 169, 5355, wholegrain
23, 112, 150, 6840, wholegrain
21, 79, 158, 5520, wholegrain
22, 106, 163, 6408, wholegrain
19, 140, 100, 4608, wholegrain
20, 115, 177, 3936, wholegrain
23, 56, 147, 4587, wholegrain
21, 125, 170, 3364, wholegrain
22, 110, 171, 4556, wholegrain
20, 101, 171, 4624, wholegrain
19, 105, 170, 3388, wholegrain
20, 114, 170, 6142, wholegrain
20, 144, 129, 7360, wholegrain
20, 133, 146, 6118, wholegrain
19, 118, 184, 5056, wholegrain
22, 108, 201, 4160, wholegrain
20, 122, 157, 5822, wholegrain
21, 113, 178, 4410, wholegrain
21, 98, 159, 5655, wholegrain
21, 94, 208, 3625, wholegrain
20, 112, 161, 3108, wholegrain
20, 100, 140, 5940, wholegrain
19, 84, 207, 3875, wholegrain
20, 124, 156, 6802, wholegrain
22, 109, 140, 4466, wholegrain
21, 129, 158, 4216, wholegrain
20, 81, 138, 4699, wholegrain
